うんめい, fate
うんちん,  fare
うなる, to groan
うま, skillful
うれゆき, sales
うけとり, receiving
うかぶ, to float
うちあわせ,  meeting
うどん, udon
うちわ, uchiwa
うけいれる, to accept
うごき, movement
うけつぐ, to inherit
うちこむ, to drive in
うでまえ, ability
うんえい, management
うんが,  canal
うかべる, to float
うりあげ, amount sold
うえる, to starve
うめる, to bury
うらみ, resentment
うらぐち, backdoor
うえき, garden plant
うすぐらい, dim
うつる, to be photographed
しめい,  name
うむ, existence or nonexistence
うらやましい, envious
うらがえす, to turn inside out
うやまう, to show respect for
えん, fate
えり, collar
えいぞう, image
えいせい, hygiene
えんしゅつ, direction
えいしゃ, projection
えんまん, harmonious
えんぽう, distant place
えいゆう, hero
えもの, prey
えんがん, coast
えんかつ, smooth
えんせん, places alongside a railway line
えんじる, to act
えきたい, liquid
えんとつ, chimney
えんげき, drama
えんげい, horticulture
えんかい, party
えんちょう, extension
えいぶん, English writing
えのぐ, paint
えらい, great
えんそく, school trip
いばる, to put on airs
ほる, to carve
えっと, let me see
えいわ, English-Japanese
えんしゅう, circumference
お, tail
おと, sound
おもちゃ, toy
しょうじょ, girl
おばあ, grandmother
おてあらい, toilet
おまわりさん, police officer
おうごん, gold
おちる, to fall
おこす, to raise
おとす, to drop
だいじ, important
おおどおり, main street
おくさん, wife
おんせん, hot spring
おんしつ, greenhouse
おやゆび, thumb
おんたい, temperate zone
おさめる, to put
おうべい, Europe and the United States
おさえる, to pin down
おうふく, making a round trip
じゅうやく,  director
おうえん, aid
おうたい, dealing with
おんけい, grace
おうよう,  application
おくがい, outdoors
おどろかす, to surprise
おちつく, to calm down
か, counter used with Sino-Japanese words
かんむり, traditional cap worn by Shinto clergy
かいうん, maritime transport
かい, storey
かくめい, revolution
よげん, prediction
かいかく, reform
かいきょう, channel
かせい, Mars
かんぜい, customs
かんご, nursing
きしつ, disposition
かいご, nursing
かんせん, infection
かちく, domestic animals
かいほう, release
かじつ, fruit
かしつ, accident
かきね, hedge
かんそう, dryness
かんぱい, cheers
かいてん, rotation
かざん, volcano
かんねん, idea
はいいろ, grey
かくど, angle
かね, bell
かんばん, signboard
かおく, house
かくりつ, probability
かんそく, observation
かもつ, cargo
ひき, counter for small animals
きり, end
きまる, to be decided
きき, crisis
きょり, distance
きかく, planning
きせい, regulation
きゅうでん, palace
きぞく, nobility
きゅうさい, relief
きげき, comedy
きょうはく, threat
ききん, fund
きょうせい, compulsion
きかい, machine
きそ, foundation
きょうか, strengthening
きゅうよ, pay
きごう, sign
きあつ, atmospheric pressure
きかんしゃ, locomotive
きたい, gas
きゅうそく, rest
きざむ, to mince
きょうよう,  culture
きじゅん, standard
きげん, term
きぐ, utensil
けはい, indication
きゅうよう, rest
きりつ, order
きばん, base
く, ward
こっきょう, border
くんしゅ, monarch
こくど, country
くき, stalk
くれる, to give
くだらない, trivial
くれぐれも, sincerely
くどい, repetitious
くみあわせ, combination
くるしめる, to torment
くろじ,  the black
くみこむ, to insert
しゅじゅ, various
くつがえす, to overturn
くかく, division
くかん, section
くうふく, empty stomach
くちびる, lip
くうそう, daydream
くちべに, lipstick
くふう, devising
くぎ, nail
くし, comb
くすりゆび, ring finger
くだる, to descend
くばる, to distribute
くじょう, complaint
くずれる, to collapse
くうちゅう, sky
くいき, area
くしん, pains
くぶん, division
くずす, to destroy
くみたてる, to assemble
くだける, to break
けんりょく,  power
けつだん, decision
けんい, authority
けいたい, form
けんげん, power
けっしょう, crystal
けいばつ,  punishment
けっかん, blood vessel
けっかく, tuberculosis
けど, but
けんめい, wise
けつい, decision
けいれき, personal history
けいひ, expenses
けんち, point of view
けんぜん, healthy
けいば, horse racing
けがわ, fur
けつえき, blood
けんびきょう, microscope
けつあつ, blood pressure
けいぞく, continuation
けいようし, adjective
けいこうとう, fluorescent lamp
けいど, longitude
けいご, honorific
けいこ, practice
けっさく, masterpiece
けんがく, inspection
けいしき, form
けんきょ, modest
けずる, to shave
けいび, defense
けんしゅう, training
こ, child
こうきょ, Imperial Palace
こうしょう, negotiations
こうずい, flood
こうかい,  voyage
こぎって, cheque
こどく, solitude
こんちゅう, insect
こだい, ancient times
こじ, orphan
こてい, fixing
こんげん, root
こたい, solid
こうがい, pollution
こうしき, official
こうきょう, public
こくせき, nationality
こうすい, perfume
こうせん, beam
こてん, classic
こうりゅう, exchange
こうぶつ, mineral
ぐん, district
こんだて, menu
こうげい, industrial arts
こしょう, pepper
こえる, to cross over
こす, to cross over
たえる, to bear
こうたい, change
こくおう, king
こうしゃ, school building
こうど, altitude
や, arrow
さび, rust
さがる, to come down
さつじん, murder
さいがい, calamity
さんみゃく, mountain range
さいぼう, cell
さぎ, fraud
さくせん, tactics
さっかく, optical illusion
さい, difference
さんぎいん, House of Councillors
しゃみせん, shamisen
さいけん, rebuilding
さかだち, handstand
さんせい, approval
さむけ, chill
さんぶつ, product
ぶし, samurai
さつえい, photography
さしみ, sashimi
さんすう, arithmetic
さくいん, index
さいほう, sewing
さがす, to search for
さらいげつ, month after next
さらいしゅう, week after next
さくせい, making
さくしゃ, creator
さいてん, marking
さくじょ, deletion
さかさ, inverted
ささる, to stick into
さいさん, again and again
しばしば, often
しんし, gentleman
しょうこ, evidence
しょうり, victory
しかく, qualifications
しょうげん, testimony
しんじゅ, pearl
しょうだく, consent
しょくみんち, colony
しば, lawn
しんり, truth
しょくいん, staff member
しょくにん, craftsman
しんかんせん, Shinkansen
しりょう, material
しょてん, bookshop
しゃこ, garage
しょうぎょう, commerce
しせい, posture
したい, dead body
しゃりん,  wheel
しんりん, forest
しんわ, myth
しょうか, digestion
しんだん, diagnosis
しょうぎ, shogi
せい, surname
しんや, late at night
しょうしゃ, trading company
しゅうごう, meeting up
しぜんかがく, natural science
しつど, level of humidity
てんのう, Emperor of Japan
すいげん, source of river
すみません, excuse me
すなわち, that is
すくなくとも, at least
すっぱい, sour
そる, to shave
すまない, inexcusable
すぎ, past
すばやい, quick
すいそく, guess
なめらか, smooth
すすめ, recommendation
すいり, reasoning
すすみ, progress
すくい, help
すいしん, propulsion
いき, chic
すえる, to place
す, vinegar
すもう, sumo
すいそ, hydrogen
すいへい, horizontal
すいじょうき, water vapour
すいちょく, vertical
すいぶん, water
